Path,Identity,Expression,Age
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Bill_Self_0001.jpg,Unknown,Not Smiling,58
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Bill_Simon_0001.jpg,Unknown,Not Smiling,70
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Bill_Sizemore_0001.jpg,Unknown,Not Smiling,71
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Billy_Graham_0002.jpg,Unknown,Not Smiling,99
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Billy_Tibbets_0001.jpg,Unknown,Not Smiling,18
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Bo_Pelini_0002.jpg,Unknown,Smiling,53
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Bob_Ferguson_0001.jpg,Unknown,Smiling,67
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Bob_Hayes_0001.jpg,Unknown,Smiling,30
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Bob_Iger_0001.jpg,Unknown,Smiling,70
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Bonnie_Fuller_0001.jpg,Unknown,Not Smiling,65
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Brandon_Larson_0001.jpg,Unknown,Not Smiling,45
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Brandon_Lloyd_0001.jpg,Unknown,Not Smiling,40
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Brooke_Gordon_0001.jpg,Unknown,Not Smiling,41
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Bryan_Murray_0001.jpg,Unknown,Smiling,60
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Budd_Schulberg_0001.jpg,Unknown,Not Smiling,85
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Buddy_Ryan_0001.jpg,Unknown,Smiling,75
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Calvin_Harrison_0001.jpg,Unknown,Not Smiling,48
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Cari_Davis_0001.jpg,Unknown,Not Smiling,48
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Carlos_Alberto_0001.jpg,Unknown,Smiling,30
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Cecile_de_France_0001.jpg,Unknown,Smiling,46
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Celia_Cruz_0001.jpg,Unknown,Not Smiling,70
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Celso_Amorim_0001.jpg,Unknown,Smiling,79
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Chan_Choi_0001.jpg,Unknown,Smiling,54
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Chance_Mock_0001.jpg,Unknown,Not Smiling,38
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Chang_Saio-yue_0001.jpg,Unknown,Not Smiling,40
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Charley_Armey_0001.jpg,Unknown,Not Smiling,77
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Chen_Tsai-chin_0001.jpg,Unknown,Not Smiling,62
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Chris_Gratton_0001.jpg,Unknown,Smiling,46
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Chris_Tucker_0001.jpg,Unknown,Not Smiling,50
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Christian_Lirette_0001.jpg,Unknown,Not Smiling,12
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Christy_Ferer_0001.jpg,Unknown,Not Smiling,68
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Chyung_Dai-chul_0001.jpg,Unknown,Not Smiling,58
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Clara_Harris_0003.jpg,Unknown,Not Smiling,63
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Clifford_Robinson_0001.jpg,Unknown,Not Smiling,53
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Columba_Bush_0001.jpg,Unknown,Not Smiling,69
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Conchita_Martinez_0002.jpg,Unknown,Smiling,50
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Cynthia_Nixon_0001.jpg,Unknown,Not Smiling,56
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Dan_Monson_0001.jpg,Unknown,Smiling,60
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Dave_Williams_0001.jpg,Unknown,Not Smiling,62
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/David_Donohue_0001.jpg,Unknown,Smiling,55
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/David_Duke_0001.jpg,Unknown,Smiling,72
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/David_Heyman_0002.jpg,Unknown,Not Smiling,60
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/David_Scott_Morris_0001.jpg,Unknown,Smiling,62
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Deece_Eckstein_0001.jpg,Unknown,Smiling,45
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Denys_Arcand_0001.jpg,Unknown,Smiling,81
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Derek_Parra_0001.jpg,Unknown,Not Smiling,51
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Dimitri_Perricos_0001.jpg,Unknown,Smiling,70
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Dion_Glover_0001.jpg,Unknown,Smiling,47
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Dionne_Warwick_0001.jpg,Unknown,Not Smiling,82
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Dirk_Kempthorne_0001.jpg,Unknown,Smiling,70
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Donny_Osmond_0001.jpg,Unknown,Not Smiling,64
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Dustin_Hoffman_0001.jpg,Unknown,Not Smiling,84
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Edward_Belvin_0001.jpg,Unknown,Not Smiling,44
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Elgin_Baylor_0001.jpg,Unknown,Smiling,87
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Ellen_Martin_0001.jpg,Unknown,Smiling,51
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Elliott_Mincberg_0001.jpg,Unknown,Smiling,66
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Emily_Robison_0001.jpg,Unknown,Not Smiling,49
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Eric_Ryan_Donnelly_0001.jpg,Unknown,Not Smiling,25
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Faye_Alibocus_0001.jpg,Unknown,Smiling,28
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Flavia_Pennetta_0001.jpg,Unknown,Not Smiling,39
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Francis_Ford_Coppola_0002.jpg,Unknown,Smiling,83
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Francis_Ricciardone_0001.jpg,Unknown,Not Smiling,68
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Frank_Van_Ecke_0001.jpg,Unknown,Not Smiling,46
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Franz_Beckenbauer_0001.jpg,Unknown,Not Smiling,76
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Fred_Eckhard_0003.jpg,Unknown,Not Smiling,75
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Fred_Thompson_0002.jpg,Unknown,Not Smiling,73
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/GL_Peiris_0003.jpg,Unknown,Not Smiling,76
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Gabriel_Valdes_0002.jpg,Unknown,Not Smiling,93
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Gabriella_Bo_0001.jpg,Unknown,Smiling,46
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Gary_Carter_0003.jpg,Unknown,Not Smiling,58
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Gary_Forsee_0001.jpg,Unknown,Not Smiling,71
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/George_Brumley_III_0001.jpg,Unknown,Smiling,75
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/George_McCloud_0001.jpg,Unknown,Not Smiling,52
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/George_Pataki_0003.jpg,Unknown,Not Smiling,77
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Gerardo_Gambala_0002.jpg,Unknown,Not Smiling,70
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Gerry_Kelly_0001.jpg,Unknown,Smiling,68
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Gina_Gershon_0001.jpg,Unknown,Not Smiling,59
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Goran_Persson_0001.jpg,Unknown,Not Smiling,72
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Grant_Hackett_0004.jpg,Unknown,Smiling,42
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Gregorio_Honasan_0001.jpg,Unknown,Not Smiling,73
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Zinedine_Zidane_0002.jpg,Unknown,Not Smiling,35
