Path,Identity,Expression,Age
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (91).jpeg,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (92).jpeg,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (93).jpeg,Hamza Ahmad,Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (94).jpeg,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (95).jpeg,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (96).jpeg,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (97).jpeg,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (98).jpeg,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (99).jpeg,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (100).jpeg,Hamza Ahmad,Not Smiling,23
